"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC797711",391.423736074668,1.04360254862569,0.233594713748773,4.46757776268885,7.91102578858605e-06,0.00497471671672253
"si:ch211-239f4.1",90.3150199899721,-1.49660950696193,0.361801965992916,-4.13654332378955,3.52576812354761e-05,0.0135742072756583
"atp11a",188.099228882843,-0.930221341779584,0.242686879268713,-3.83301043955328,0.000126584579355676,0.0302113345231072
"pip4k2ab",589.641125426774,-0.702285082069528,0.190022612276179,-3.69579742988076,0.000219197697004654,0.042195556673396
"angptl4",320.572532602243,-1.49323652949036,0.346039555097718,-4.31521919240904,1.59444615705804e-05,0.00822899064541759
"cacybp",362.768961686514,0.639105577731305,0.16232811530105,3.93712189996191,8.24647214637864e-05,0.0219112249354131
"hbl2",38.5081755337042,-1.64062776748342,0.431855707407384,-3.79901837429177,0.000145270323308009,0.0315002833242022
"rorcb",160.832997813596,-1.2344936718893,0.279889886112612,-4.41064051665164,1.03065298638816e-05,0.00589189957218562
"chico",87.0028636861547,-1.19413031975355,0.276957211967612,-4.31160579379748,1.62073195511411e-05,0.00822899064541759
"mhc1zja",157.699805900937,-1.84919882161877,0.436750797904929,-4.23399071161238,2.29580430492887e-05,0.010072174002903
"hsp70.1",145.72470281922,1.65448760030065,0.421359304999768,3.92654815182391,8.61736472419395e-05,0.0219831240292463
"ier2a",128.117537484682,1.23762310723534,0.276150234033739,4.48170218492058,7.40500323199604e-06,0.00497471671672253
"si:ch73-374l24.1",166.553660481587,-1.05563146913274,0.276597167075061,-3.81649414668905,0.000135361284894615,0.0302113345231072
"LOC101884367",166.783514626929,-1.0470050334004,0.245774311016566,-4.26002631873854,2.04402833489852e-05,0.00940502305801479
"LOC108183319",169.919418550172,-0.916152277752937,0.242059793647853,-3.78481805650776,0.000153821071593954,0.0329658756063956
"LOC108183482",114.743163109094,-0.913462871118708,0.248107869273525,-3.68171664120684,0.000231668812383264,0.0428473739765714
"LOC101884563",143.175395719737,-0.904455439770101,0.248739605706678,-3.63615370861632,0.000276739239508972,0.0496300268408821
"si:dkey-262g12.3",47.5762709775207,1.87885607588934,0.372973868041634,5.03750057813597,4.7165013683697e-07,0.000523392931260555
"ttll1",429.856881979133,0.597719966761052,0.156163216774766,3.8275336478445,0.000129433694649349,0.0302113345231072
"arf3b",289.96394882827,-0.943039884803871,0.229073230788933,-4.11676162053516,3.84233121635687e-05,0.0136765242257684
"lrrc8db",267.980249900701,-0.818242354153658,0.201520950902992,-4.0603339279971,4.90025816659694e-05,0.0162181351426055
"srgap3",206.99838644613,-1.15857085001792,0.318798307392177,-3.63418130885079,0.000278864714822873,0.0496300268408821
"mmp24",378.690547387237,-0.834351403494003,0.186485637971457,-4.47407860771405,7.67415081067689e-06,0.00497471671672253
"cacna2d2a",187.181016506136,-1.16682068481854,0.19448643107401,-5.9994966146225,1.97930155794477e-09,4.66744048632852e-06
"si:ch211-200p22.4",356.093514058167,-0.828345800606521,0.214548112764833,-3.8608859799875,0.000112976618333555,0.0284173853981669
"tub",389.605287060647,-0.625486752273738,0.163669846218091,-3.82163707443259,0.000132568692476501,0.0302113345231072
"mtss1lb",322.236925494196,-0.975836578323465,0.226884531990839,-4.30102735413831,1.70008070014965e-05,0.00822899064541759
"atxn1l",46.6759517242529,-1.39318694570823,0.365253200484077,-3.81430455328473,0.000136566968123402,0.0302113345231072
"zmp:0000001168",152.707591245564,-1.21231890609559,0.290358305329998,-4.17525134925198,2.97657219011704e-05,0.0122071813840343
"pea15",158.806380717417,-0.891199165432325,0.21933997197381,-4.06309510032552,4.84262881672251e-05,0.0162181351426055
"pxnb",47.113250173958,-1.44858970480527,0.391348127164378,-3.70153733787213,0.000214297113376809,0.0416774746789022
"slc6a8",379.804987322394,-0.983477210469501,0.247569385003319,-3.97253162161515,7.11127923778542e-05,0.0200230272866898
"gpr37l1b",740.416138651024,-0.616714592710608,0.155045773897349,-3.97762916852487,6.96058128965029e-05,0.0198956615195837
"magixa",332.33495013858,-0.951074860530384,0.207375079048698,-4.58625436042409,4.51268771260219e-06,0.00354716057076001
"slc7a4",158.430105315142,-1.64520426555482,0.394523050728678,-4.17010935740296,3.04453509569823e-05,0.012220245655393
"slc12a5b",465.24756071283,-0.885230563019574,0.230548727139051,-3.83966796956404,0.000123200815828467,0.0300887930623312
"kctd4",799.705931184524,0.744118924447369,0.173015422765204,4.30088204019361,1.70119605179584e-05,0.00822899064541759
"crfb1",75.2659443072357,-1.18173946052233,0.28648966769007,-4.12489382270063,3.70905825729814e-05,0.0136245905953359
"LOC103911631",48.0179804917743,-1.46282480280132,0.379859044773345,-3.85096741259421,0.000117652154870707,0.0292040513373144
"slc4a3",175.290243065999,-0.997225971192856,0.246325210072532,-4.04841214140939,5.1566284230308e-05,0.0167456906507382
"isoc1",184.731145427049,-0.899108135021633,0.241291542861371,-3.72623144748259,0.000194363946164574,0.0385965878357336
"cpne5b",116.161452763867,-1.3533325202606,0.330445777643301,-4.09547529979775,4.21303145832591e-05,0.0147183034187626
"mcf2l2",81.074292760034,-1.46950691609582,0.348537317683668,-4.21621112442698,2.48441181408802e-05,0.0106519156529024
"cacna1ab",974.563669910046,-0.783255264284694,0.212335160240396,-3.6887685647442,0.000225342079977595,0.0428473739765714
"slc38a3a",97.2077982134541,-1.0835251612662,0.289388265626555,-3.74419176575893,0.00018097539558094,0.0367107616949938
"bsk146",347.145507485158,-0.592080585621267,0.158821661001365,-3.72795865430585,0.000193037036974882,0.0385965878357336
"mkl2a",502.091452495706,-0.850932624379779,0.180705947857282,-4.70893534202775,2.49014040427416e-06,0.00223697612983962
"LOC103911912",195.381024718506,-2.44185273333413,0.332317101144597,-7.34795990011852,2.01254851738197e-13,1.26555759268036e-09
"arid4b",140.267529650608,-1.06850122539198,0.259217377235934,-4.1220277621259,3.75551927356196e-05,0.0136245905953359
