"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"angptl4",509.036154105759,-1.50389584957203,0.348599094774702,-4.31411289390751,1.60245049180461e-05,0.00966633746667468
"LOC101882114",243.711109045296,-1.04490496092704,0.236019653284422,-4.42719471190752,9.54665493034826e-06,0.00740411280240867
"LOC100331639",1151.98909852125,1.06728160480689,0.208672335695241,5.11462912058268,3.14357995200126e-07,0.000487614158840424
"actb2",26692.1130320524,0.865457568985123,0.227160179146208,3.80990001081168,0.000139023005795551,0.0463563823741131
"acot17",121.365481975953,1.95207507776481,0.468470670760171,4.16690990408694,3.08756454646809e-05,0.0163535491929515
"si:dkey-23a23.2",191.301243774806,1.68682767208092,0.297931470818492,5.66179755178863,1.49795486665176e-08,4.06619848552621e-05
"LOC110439525",76.421588058023,-1.6766266701269,0.436399226796424,-3.84195609702359,0.000122057672048647,0.0455280085545378
"zgc:175107",302.461380654758,-1.63792553953008,0.370947366663464,-4.41552006221965,1.00767433199966e-05,0.00754574337713951
"LOC100149554",181.469542435458,-1.84741878659196,0.300311820140803,-6.15166857476933,7.66719716653389e-10,5.550028455615e-06
"ydjc",289.267857742657,-1.39974429175086,0.354595268444513,-3.94744210178284,7.89906123140121e-05,0.0323652856039828
"ccdc125",135.182012152384,1.05804226270916,0.273185929103609,3.8729749595115,0.000107514877817379,0.0424507833942221
"krt4",516.925482877156,1.35080743672598,0.302938819759089,4.45901069331492,8.23388136611813e-06,0.00687719106717774
"si:dkey-86l18.10",358.546581736344,-1.57920595682,0.41204970354914,-3.83256180799961,0.000126815723441342,0.0455280085545378
"sorbs3",189.31585427471,0.955861171500021,0.226704082942909,4.21633858151879,2.48300873131022e-05,0.0138259019510597
"star",4321.18702096021,1.04492389662652,0.260549623531601,4.0104602050971,6.06005141058495e-05,0.0275248765042751
"fmnl2a",96.2428357901625,-1.31495578808273,0.293759555418613,-4.4762996260969,7.59478798073936e-06,0.00659713663158944
"hsd3b1",1521.5605909512,1.56704912154611,0.41166588145741,3.80660431706977,0.000140887881593823,0.0463563823741131
"mao",295.279639344493,2.18606559276224,0.465682489779485,4.69432637202532,2.67486688400096e-06,0.00289631661490527
"gli2a",500.515838038084,2.28834605060792,0.263321351440699,8.69031712805583,3.61429157972694e-18,7.84879559453503e-14
"ube2e3",278.250073593511,0.843444123317915,0.218603252965259,3.8583329016241,0.000114163079438689,0.0434941304050977
"LOC110440049",203.616888052112,1.59178849232098,0.385115978200374,4.13327044948724,3.57637474400006e-05,0.0176510349865239
"LOC110437768",727.627540175531,-1.09391078123817,0.252623464847836,-4.33020258785965,1.48972224891118e-05,0.0093080476215215
"myo15b",94.1667772105121,1.39609719387003,0.319966747121967,4.36325713977353,1.28140178332344e-05,0.00869591285207872
"LOC101886422",86.2756995169337,-1.61050837247715,0.406852394585011,-3.95845862999004,7.54350035265688e-05,0.0315028180112109
"manba",608.434362267289,-0.928377737177054,0.19692760566048,-4.71430977928841,2.42531451723588e-06,0.00277200684506812
"nt5c1ba",108.252565940464,2.30742043339126,0.554902634763778,4.15824378699071,3.20703666669282e-05,0.0165819067271193
"si:dkey-157l19.2",208.252201284117,0.813077077666379,0.214552261575079,3.78964580329934,0.000150862241668272,0.0473648116585583
"pimr120",487.378888481526,-1.02711704632082,0.268344090877738,-3.82761194018166,0.000129392543291827,0.0455280085545378
"pimr119",468.545101745712,-1.16102280171153,0.252583431171704,-4.59659129787605,4.29458841540648e-06,0.00388588675120696
"pimr118",508.526977084799,-1.00266252905149,0.228112811810028,-4.39546784371982,1.10534426940526e-05,0.00800121871813487
"pimr209",583.686204202388,-0.724909497345097,0.184434035339343,-3.93045402932992,8.47856037955097e-05,0.0340963735559868
"LOC101884350",187.056947690168,-1.09310820038059,0.289603160217064,-3.77450370210491,0.000160326527488083,0.0490373362102987
"tnfrsf1a",460.808426241812,-1.38494068521034,0.297542223760162,-4.65460218623188,3.24606820528207e-06,0.00320416441572298
"tg",86.4250958111522,2.76375167566378,0.523870207577321,5.27564201149169,1.3229211757571e-07,0.000261168693206739
"fli1b",81.8552098765035,1.20911237283494,0.316568060187849,3.81943892923834,0.000133755569210048,0.0461053323962761
"p4ha1b",268.161625331876,0.925552423092743,0.244423576412533,3.78667408716177,0.000152677142019667,0.0473648116585583
"rpusd2",115.589921199834,1.17029545581015,0.305454804281014,3.83132116243782,0.000127457002151929,0.0455280085545378
"dnal1",1834.42237826803,-0.694477601024998,0.162795067128015,-4.26596218962145,1.99042490414419e-05,0.011682180329296
"mycbp",1738.61573976973,-0.740615718701283,0.19451290352208,-3.80754029830836,0.000140355872771275,0.0463563823741131
"necab2",136.37053340119,-2.20922387088004,0.377918698105867,-5.84576492762251,5.04245710970926e-09,1.82503330990744e-05
