"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"appa",2679.25945207243,2.37277712907082,0.7642189187516,3.10483955689935,0.00190382264422818,0.0357984751196141
"nrp2a",205.6513408347,3.50483919903498,1.12538216512079,3.11435466782861,0.00184347748760833,0.035300584002666
"lancl1",753.335131619075,2.3646397295038,0.777379052804483,3.04181045395177,0.00235159924775106,0.0405213736841231
"si:dkeyp-9d4.3",413.846863834163,4.55428046413229,1.28914847295305,3.53278195621628,0.000411211471770502,0.0141930451905469
"fscn1b",268.599760164702,4.99483801786369,1.54509226830167,3.23271180649547,0.00122621197533801,0.027647520944833
"atp1b1b",1026.0477117235,6.03601579728691,1.64467842321978,3.67002795930784,0.000242523940252275,0.0103013609739749
"cplx2l",1686.91865216632,5.92429947141379,1.67807550973359,3.5304129266235,0.000414911560431181,0.0142372798632273
"pcdh18a",142.494876932034,3.73089529994349,1.06590275226037,3.50022109618509,0.00046487241371567,0.0151691341780123
"LOC101886760",124.263893741071,-2.1039353509086,0.594640433484708,-3.5381639599903,0.00040291977984987,0.0140133401534003
"camk2d2",1687.7092369195,6.92795694547753,1.48701225365966,4.65897771079374,3.17783605900907e-06,0.00110932288929896
"pcdh7a",358.875500262582,4.38224726480747,1.19925311149031,3.65414708773336,0.000258038317593689,0.0107135433836751
"micu3a",168.484574072843,5.95917319167767,1.56920301106877,3.79757950350791,0.00014611591920052,0.00762859457692644
"LOC110439786",225.454857985407,2.90705659355511,0.8736441262428,3.3275065970594,0.000876269143617967,0.0223606163154018
"mtmr7b",258.109986370945,2.15880313108826,0.731435755940482,2.95145966485118,0.00316275851251627,0.048568540440982
"ptprdb",639.025396160011,4.98097376214127,1.27788891143298,3.89781436991716,9.70647736209981e-05,0.00627488563192989
"fbxo10",34.4396594264781,1.75786270893925,0.595593968943749,2.95144477714695,0.00316291098200045,0.048568540440982
"prss12",77.5890540547074,3.43753768653818,1.08438407639816,3.17003703886554,0.00152419507231742,0.0314405034399646
"ndst3",151.712394270846,4.07695739425988,1.12546144147043,3.62247629641874,0.000291796206893976,0.0115501012457372
"spock3",953.145414385299,4.33880897256405,1.14869042455769,3.77717867216899,0.000158614946097668,0.00798345802612356
"cpe",3211.46107361696,8.01986641154443,1.47504678460959,5.4370251135235,5.41775045072885e-08,7.55558358418171e-05
"gria2a",1526.1050543438,6.95580610263225,1.67039135609805,4.16417750082273,3.12476956165598e-05,0.00328549266272079
"LOC110439140",502.101917128902,-2.74639078709913,0.926888570383126,-2.96302152691766,0.00304635263554606,0.0475769105945307
"gucy1b3",177.938073512076,2.71253906813138,0.867736594643434,3.12599363087366,0.00177205389640749,0.0345451639839575
"sh3gl2a",907.752133537536,6.66808239342891,1.49410076545007,4.46294021636503,8.08426141522103e-06,0.00156902612936163
"bnc2",75.9002059568366,2.8374741789654,0.818527320917102,3.46656013361437,0.000527163801804032,0.016157108100906
"gpm6ba",1373.92945925599,7.80319197888401,1.59376489313171,4.89607470494027,9.77699109584202e-07,0.000516384290180624
