"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"trim2b",108.974554391658,-4.49881696415106,1.21259597615546,-3.71007083366264,0.000207201266260514,0.0230298140275321
"rnf175",182.754974164546,-2.76140417468614,0.785887458049095,-3.51373997180349,0.000441845109879138,0.0311164837289078
"uchl1",415.53904083703,-7.43029579942843,1.52316277743431,-4.87820206054694,1.07057223073238e-06,0.00799141562839411
"adgrl3.1",509.162887254297,-5.36552627679049,1.48909159220959,-3.60322112142804,0.000314297934054525,0.0263906649902267
"gpm6ab",2605.11637187917,-6.08825090915993,1.68391444307743,-3.615534586207,0.000299728452667396,0.0257954849706989
"si:dkey-28b4.8",585.30216040795,-3.40627349530084,0.96039982920413,-3.54672438678333,0.000390052419800554,0.0292195150950591
"sept3",385.252864989755,-5.23282892684701,1.62818765290767,-3.21389792970242,0.00130946213040435,0.049035266747499
"zgc:175214",257.887048515004,-4.07955651494556,1.2605000704604,-3.23645877580594,0.00121022705517006,0.0473009970770047
"esf1",270.269945411856,2.15570363671832,0.638074016550478,3.37845387964921,0.000728946586482649,0.0373817507873418
"inpp4b",101.190533679594,-3.48991371633184,1.07827943883879,-3.23655778885125,0.00120980727859243,0.0473009970770047
"zgc:65894",1041.86691791368,-6.39177545236002,1.66684013401093,-3.8346661578033,0.00012573495219189,0.0224670643285102
"LOC100333957",25.2143928797592,-4.0041418139744,0.83458477808118,-4.79776521107951,1.60445692664514e-06,0.00799141562839411
"si:ch211-114l13.4",30.0109732307649,-2.98327688420969,0.819160141019725,-3.64187261418259,0.000270662005451909,0.0250978850547842
"si:ch211-114l13.13",49.5887763739126,-2.6472965573244,0.809381629181159,-3.27076432412067,0.00107257255075492,0.044662271718356
"si:ch211-114l13.1",103.380819996923,-5.29683540436497,1.1091737418739,-4.7754785426278,1.79280407746904e-06,0.00799141562839411
"si:ch211-15j1.5",31.5260546607339,-4.87925866620951,1.06510502178046,-4.58101179360997,4.62731744963758e-06,0.00799141562839411
"si:ch211-15j1.4",23.168921675315,-2.96554455884952,0.831660009925718,-3.5658135818198,0.000362729150835204,0.0280675251144421
"si:ch211-15j1.1",21.7207288416719,-3.35990002965473,0.958700407635641,-3.50464024307756,0.000457224679192376,0.0317604888518995
"si:dkey-222h21.11",23.194414744617,-2.96997530807141,0.860693581117473,-3.45067672540949,0.000559182930228831,0.0348793205704367
