"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"angptl4",505.551033008563,-1.50611698998786,0.349292592132389,-4.31190647586655,1.61852897316481e-05,0.0109883403378135
"LOC100331639",1177.34579958882,1.05836387236462,0.203503487964376,5.20071612998544,1.98522114668226e-07,0.000358471058777347
"si:dkey-153k10.6",304.97678321137,-1.09359122814362,0.271967764869198,-4.02103252445955,5.79436031770845e-05,0.0276206060761575
"acot17",137.065696683321,1.70658369664735,0.440776200119062,3.87176915674295,0.000108048257178529,0.0378236430285588
"si:dkey-23a23.2",189.233058808344,1.68354067053903,0.306279428872433,5.49674745292879,3.86860106116194e-08,9.63023757491911e-05
"LOC103910496",142.814236900454,-1.62200056296872,0.38228845810706,-4.2428708703376,2.20678426628213e-05,0.013139546930275
"LOC110439525",83.5709134880265,-1.59376961019271,0.399749787029601,-3.98691797195302,6.69371549846986e-05,0.0306053065362691
"zgc:175107",292.976940552809,-1.62686135048118,0.364925128375147,-4.45806885846663,8.27013378462198e-06,0.0066172884753811
"LOC100149554",168.468621516438,-1.87421084399092,0.306480279056041,-6.11527387590318,9.63912742370014e-10,5.39887527001445e-06
"ydjc",287.902190589707,-1.40022255552503,0.353938553719351,-3.95611763909539,7.61776589416025e-05,0.0341336854185533
"ccdc125",135.333283346517,1.08013548162087,0.274408791671024,3.93622768076539,8.27724478827716e-05,0.0356642141859325
"krt4",546.729128880401,1.34253760760172,0.299706501307482,4.47950779093829,7.48153595661033e-06,0.00620801228044066
"si:dkey-86l18.10",366.333235770986,-1.48701922104328,0.391922835306426,-3.79416325634776,0.000148142182397787,0.0460969090894449
"star",4287.01318211381,1.04111128809412,0.256496472790075,4.05896922000249,4.92898094110371e-05,0.024668497804623
"fmnl2a",96.3768734652694,-1.32905969873722,0.293180506073302,-4.53324716754847,5.80837809006908e-06,0.00500503472038107
"hsd3b1",1538.7047811774,1.58037043201236,0.405852299277852,3.89395461064128,9.8623111146259e-05,0.0356642141859325
"mao",294.773371235616,2.18482019224931,0.468870500385679,4.65975187274981,3.1659078582364e-06,0.00322404543890583
"gli2a",496.682593325815,2.32293417688179,0.262074179375484,8.86365143799089,7.74355939696829e-19,1.47368079552024e-14
"LOC110440049",210.648701540773,1.54843198981458,0.382005905410788,4.05342422167396,5.04733543534519e-05,0.024668497804623
"LOC110437768",715.32590597255,-1.07212830094579,0.245478634495924,-4.36750148601463,1.25675941640775e-05,0.0093854793217331
"myo15b",96.0742112171033,1.34616278852952,0.317441789956694,4.24066027574116,2.22863231275865e-05,0.013139546930275
"LOC101886422",85.8940850164699,-1.61649339812548,0.398877155172316,-4.05260962470299,5.06494777277566e-05,0.024668497804623
"nt5c1ba",107.929185922258,2.33560398969621,0.552568090743601,4.22681662010765,2.37020675644962e-05,0.0132755280428743
"pimr117",557.233653064987,-1.00667591906742,0.257486788556861,-3.90962163421878,9.24407997661175e-05,0.0356642141859325
"pimr119",458.6027877926,-1.04139663256082,0.225765053809903,-4.61274504174454,3.97385630853372e-06,0.00387088159723432
"tnfrsf1a",458.042669061423,-1.39321495207043,0.295207484289261,-4.71944319238629,2.36491075423788e-06,0.00264917302689728
"tg",81.3859605512349,2.77689886438609,0.534837891086695,5.19203839268741,2.08004095880446e-07,0.000358471058777347
"rpusd2",117.543077940548,1.175939876288,0.301092602745467,3.90557544610982,9.40014237248593e-05,0.0356642141859325
"necab2",144.162810098818,-2.11381896604195,0.395984469454547,-5.33813603587447,9.39069915160779e-08,0.000191262930720564
"LOC101886500",721.209652337978,1.23568202610661,0.209067418475036,5.91044762077146,3.41179330521622e-09,1.09196881728663e-05
"LOC100331704",469.421564993166,-1.72863598538754,0.317868874398686,-5.43820463283047,5.38201403271093e-08,0.000120578642388856
"slc44a4",291.240767230239,2.06836392591864,0.432305706938228,4.7844936875057,1.71418884426175e-06,0.00213359371482445
"krt91",1334.96584968956,1.23614340602667,0.268811666503229,4.59854820330807,4.25445284526606e-06,0.00397153173105587
"dmgdh",76.5973999722367,1.69708490825604,0.413806209028754,4.10115863712939,4.11086606502223e-05,0.0214185682141298
"LOC110437819",153.337903155771,-1.1894664698295,0.311234132695826,-3.82177385085199,0.000132495169700715,0.0436532614996298
"si:dkeyp-53d3.5",133.704268259863,-1.39748967200153,0.356505420140314,-3.91996753219489,8.85608988664888e-05,0.0356642141859325
"atcaya",116.17723270285,-2.8904118511227,0.377079879324223,-7.66525081185107,1.78482071984677e-14,1.33290411358157e-10
"si:ch211-213a13.9",138.481420976597,-3.39283953223244,0.385357295168914,-8.80439938407097,1.3155515046601e-18,1.47368079552024e-14
"si:ch211-11p18.6",94.2350615827561,-1.65817539115279,0.345893401036809,-4.7938913728404,1.63576870296175e-06,0.00213359371482445
"pcyt2",316.079666135804,-1.43506391615507,0.29404658399754,-4.88039648903753,1.05872771777288e-06,0.00158131571926557
"si:ch211-197g15.10",230.128335194345,-1.89989184711107,0.484979482735828,-3.91746850071585,8.94837341337523e-05,0.0356642141859325
"si:ch211-197g15.6",213.914443017843,-1.65999548863835,0.424104637096254,-3.9141177517038,9.07353515333391e-05,0.0356642141859325
"utrn",1235.14141951062,2.03963444209368,0.422372684365637,4.82899230369742,1.37225711464266e-06,0.00192150302477838
"si:dkey-126g1.9",99.5422071617412,-2.08535665542543,0.414302883490813,-5.0334109139061,4.8182878047971e-07,0.000771063714133387
"ctnnd2a",182.405849185963,1.55339266223515,0.327907623508196,4.73728742752554,2.16597860976489e-06,0.0025540307775354
"pax6a",285.217060790087,1.03199281648681,0.241342103901877,4.27605792691024,1.90231744836677e-05,0.0121770057466312
"ankrd27",1049.14907838246,1.20353716332676,0.203093667200922,5.92602014584772,3.10364528262507e-09,1.09196881728663e-05
"LOC110438492",149.206526047274,2.31071448066061,0.59273150904839,3.89841681332308,9.68236510766442e-05,0.0356642141859325
"LOC568664",241.43958391269,-1.3262796322129,0.301369795530614,-4.40083794687438,1.07833638532667e-05,0.0083307063368478
"LOC100537277",189.11365884592,-1.7696064997081,0.452262402112803,-3.91278711527015,9.12369613882873e-05,0.0356642141859325
"acot17_1",139.488369098653,1.80830198242998,0.415275693068841,4.3544614159014,1.33394472183052e-05,0.00964054759609383
"krt4_1",676.84992342769,1.24362712398646,0.301978699951657,4.118261070021,3.81742085591419e-05,0.0203632135371194
"pimr117_1",559.642439964869,-1.05167223342863,0.244357785390967,-4.30382126661516,1.67877115142112e-05,0.0110621143754232
"pimr120_1",459.252051471658,-1.09719783969538,0.199059076225,-5.51192068456703,3.54938874555672e-08,9.63023757491911e-05
"cyp4t8_1",215.209928626844,1.18848692908073,0.306926920815431,3.87221468199403,0.000107850891695076,0.0378236430285588
"LOC101886500_1",698.95071489322,1.2414076149598,0.208995283185818,5.93988340806746,2.85224855527358e-09,1.09196881728663e-05
"ctnnd2a_1",152.732132570225,1.69690034479777,0.362613576123512,4.67963820587838,2.87381584973549e-06,0.00306595096654638
