"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"zgc:64072",432.968723977595,1.33625096422052,0.478354257462384,2.79343382728353,0.00521516979189769,0.032440850064926
"rasa3",248.924180835435,1.13916247950808,0.273799034993663,4.16057886958749,3.17441966161225e-05,0.000867600190613884
"appa",3232.27284840821,2.42348053463446,0.656188144602156,3.69327083180358,0.000221388021782819,0.00341924297201469
"si:ch211-132g1.3",56.619847099274,1.93623402945505,0.567780951466683,3.41017785900249,0.000649205274387193,0.00742296283218723
"farp1",349.444150139785,3.26760136375753,0.820754115070909,3.98121837436688,6.8562922508583e-05,0.00148322109043823
"slitrk6",99.1305940613827,4.70571667297088,1.13493050871119,4.14625973736016,3.37950446075081e-05,0.000906327716537188
"ndfip2",1423.92264651093,2.78410940552168,0.74818919260233,3.7211302075055,0.000198333136256395,0.00315833312583674
"nrp2a",345.872893729138,3.3251656991962,0.906158998792839,3.66951683272571,0.000243009337011526,0.00365752612664384
"abcb6a",277.884038749479,1.59300154513228,0.526002445080701,3.02850596994446,0.00245766221295541,0.0190057811953771
"prkag3a",180.234219292741,1.67371235332058,0.605995022736369,2.76192425766624,0.00574618070571758,0.0348451989357655
"hecw2b",93.5885391294526,2.14552328391594,0.735192954258221,2.91831317409819,0.00351930695870556,0.0245061263974618
"klf7a",32.3018089323576,2.62812424697484,0.703741184261078,3.73450397070955,0.000188085524006689,0.0030446633652045
"lancl1",775.070475860623,1.93152019845785,0.614657381442063,3.14243390997154,0.00167549533522955,0.014399930962411
"arglu1b",1771.38219942342,2.09442807503447,0.637985483890361,3.2828773191874,0.00102753372302753,0.0103072503448868
"si:dkeyp-9d4.3",568.182071403332,4.10825923720249,0.983297258245084,4.17804402763677,2.94026747487607e-05,0.000827753849636873
"syngr3b",1050.30624325442,3.54490554790246,0.877696774706954,4.03887270644925,5.37087006516659e-05,0.00125568353752479
"si:ch211-160d14.6",178.589636787731,2.67396209554485,0.857365115473342,3.11881373208028,0.00181580713485993,0.0152771856403654
"fscn1b",291.893483940832,4.47891031784171,0.903112594618053,4.95941518757796,7.07057080913721e-07,6.69289885616134e-05
"grin2ab",393.861783851135,3.05194480545607,0.86497380501991,3.52836674098567,0.000418132415974623,0.00550154801761623
"uncx4.1",141.027166273981,3.00988568677605,0.826933734398039,3.63981485042097,0.000272834148777389,0.00400436808202882
"elfn1b",43.0346514437812,3.11119684351105,0.803870372526551,3.87027181227318,0.000108714073541811,0.00206533932581145
"trim2b",161.382188999264,4.08037712222878,0.968811928754461,4.21173294952578,2.5341903320994e-05,0.000757385574831073
"LOC557811",75.9057016203426,2.22472980461447,0.771897790651832,2.8821559428688,0.00394964209767602,0.0266547343656929
"tnrc5",278.595900589288,1.41120905652748,0.490844225495459,2.87506500683185,0.0040394432145589,0.0271188188683284
"zgc:103678",100.453698728704,1.45121342440978,0.452079812457691,3.21008234479746,0.00132696952302695,0.012295286845864
"atp1b1b",1150.02171010271,5.6002159442169,1.00070818174569,5.59625278015375,2.1903427962035e-08,6.07194313718984e-06
"ttyh3b",233.021210865992,4.51982241530966,0.916219080279298,4.93312408854424,8.09247067694434e-07,7.30840267892747e-05
"cplx2l",2209.13518782374,5.71438882145104,1.1102983429586,5.14671471653644,2.65088002930094e-07,3.46399998274221e-05
"gne",138.145940346663,1.23928488731329,0.437196273405826,2.83461905486766,0.00458803590364344,0.0297139053409771
"pcdh18a",154.92622546286,4.28954018441947,1.02263145194149,4.19461006824665,2.73341396876501e-05,0.000789985715845095
"ank2a",1083.83634845749,4.04092486906187,0.937516717887299,4.31024299829887,1.63075251531712e-05,0.000573484000820031
"camk2d2",2384.16072576408,6.75450200566567,1.19410230432853,5.65655219086433,1.54444029525717e-08,5.11680603673798e-06
"crmp1",158.513601485973,2.05615092264103,0.593396250049366,3.46505547089314,0.000530122122786171,0.006481470616441
"pcdh7a",423.740897903537,4.54335247486055,0.97188141559165,4.67480126893332,2.94238405711164e-06,0.000184609117042845
"hgsnat",96.2822663773659,1.17134078456619,0.359076722014014,3.26209055824141,0.00110593807562675,0.0108622630876905
"tusc3",361.089076633383,3.15189032959385,0.792009326209226,3.97961264506778,6.90276471356681e-05,0.00148949490844694
"micu3a",173.67898812838,5.13477327910677,1.16947421820169,4.39066821584366,1.130028551992e-05,0.000453463599290498
"LOC110439786",350.658270790611,2.78497640058333,0.766076519719556,3.63537626972675,0.000277575195315059,0.00405860351513682
"mtmr7b",266.826461327129,2.83039592962809,0.666568766064964,4.24621745530789,2.17409636912506e-05,0.000690803228772168
"slc25a4",45.3631914757756,2.08067243858863,0.632831403679197,3.28787798217958,0.00100945579986459,0.0101758388552584
"sorbs2a",283.522588552451,3.22093189018412,0.823502943282776,3.91125728991853,9.18168959792602e-05,0.00182739165792569
"ptpn9b",167.659728453827,1.19442125413826,0.360031488771493,3.3175466351954,0.000908117542387891,0.00946330236825923
"ptprdb",996.5003640648,4.8120544959452,1.00271684459608,4.7990163144049,1.5944680762741e-06,0.000119991452155508
"clockb",279.284096484439,1.7976715734906,0.509292040728548,3.52974605870338,0.000415958708404809,0.00549093791605123
"fbxo10",38.0402519270078,2.35565498534978,0.712722744437691,3.30514916737826,0.000949258638334601,0.00973518664689925
"si:ch211-42i9.8",88.5310247566316,1.53899343671059,0.471481530786071,3.26416484256493,0.001097872697049,0.0108025742704565
"apbb2b",67.156812658847,2.74611164172243,0.71575388620794,3.83667025026062,0.000124713748262776,0.00227694784882718
"prss12",90.5670591782902,2.70723051319371,0.733992927599363,3.68836048876946,0.000225703725043331,0.00346815220489376
"ndst3",245.159244269525,3.86539287395596,0.930122038514739,4.15579108320924,3.24163938406239e-05,0.000882256200688636
"ugt8",75.7341728834528,3.31610495712427,0.939649530349129,3.52908701597729,0.000416995993355102,0.00549395254678859
"spock3",1332.26116761191,4.89138308988993,1.02134919174182,4.78913884638035,1.67498560038845e-06,0.0001239900103699
"cpe",3101.47897816317,7.2553541364727,1.18886784038801,6.10274236546322,1.04263833707846e-09,8.33098697159132e-07
"LOC101882260",45.3269564168243,1.76118274212838,0.645991438968072,2.72632520477633,0.00640438638364097,0.0376438454483472
"gria2a",1780.43567152494,6.50675975974683,1.29990201773904,5.00557709039044,5.56949169590368e-07,5.64576048144087e-05
"glrba",131.120729345438,1.80579044134035,0.571446232292611,3.16003560666699,0.00157749859122256,0.013820027161478
"adamtsl7",20.6561137292123,1.77366633347979,0.682888286300193,2.59730086027584,0.00939595851208091,0.0493744200265796
"kdm4c",488.427909163129,1.70300799210956,0.553173048224183,3.07861707575346,0.00207963798287864,0.0168197454840322
"si:ch73-380n15.2",34.5818641619572,1.79794996470435,0.647481907681637,2.7768342920068,0.00548911560801462,0.0336848438497703
"chrnb3a",138.141925441705,2.46348946130207,0.817050912170537,3.01509908942845,0.00256895312536297,0.0196482966094414
"uchl1",1271.53344566496,2.00094585376528,0.652310021162113,3.06747679608007,0.00215874220043116,0.0172236561994459
"tapt1b",714.495276952246,1.32867298503434,0.43466347697464,3.05678543383083,0.00223724360269175,0.0177353945008249
"adgrl3.1",1309.9664570711,2.54074970357844,0.886903418303942,2.86474226070434,0.00417348779624616,0.0277554817529056
"si:dkey-92j12.5",51.9354878340046,1.4381069173773,0.47482378265448,3.028717115511,0.00245594532639952,0.0190057811953771
"rhoh",22.4422180492865,1.35953117044178,0.393297125227681,3.45675338881448,0.00054672493435722,0.0066159805308163
"fam184b",788.043968072374,2.23257506222,0.682020194573339,3.27347354225582,0.00106234335643026,0.0105369412063311
"slit2",201.614791303605,1.92943738274556,0.668689069530128,2.88540290347699,0.0039091302437536,0.026444059096627
