"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rasa3",248.924180835435,1.27412342792039,0.297203710336992,4.28703742115363,1.81071799572914e-05,0.000869112646465965
"appa",3232.27284840821,2.60230552516722,0.708878921784098,3.67101552211169,0.000241588666188878,0.00432360954832229
"si:ch211-132g1.3",56.619847099274,1.89755243142015,0.616045326711144,3.08021560937818,0.00206850792852782,0.0176450285799422
"farp1",349.444150139785,3.32017462218019,0.887537718769683,3.74088284020499,0.000183374992225734,0.00368472515813351
"slitrk6",99.1305940613827,4.27425671180615,1.22457484261846,3.49040055621808,0.000482297069859895,0.00670550895439293
"ndfip2",1423.92264651093,2.93468343862994,0.808401959284172,3.63022801333703,0.000283170958788745,0.00475536322682488
"klf7a",32.3018089323576,1.96222893585392,0.752834627635578,2.60645414520407,0.00914850725491597,0.0491666659929381
"lancl1",775.070475860623,2.13866968336208,0.664313531446289,3.21936793716357,0.00128473522730618,0.012982301862021
"arglu1b",1771.38219942342,1.94220408198077,0.689147928566953,2.81826876563277,0.00482833749603706,0.0317991381223852
"si:dkeyp-9d4.3",568.182071403332,3.64546186881986,1.06182989406077,3.43318820576662,0.000596527863467936,0.00772443873538294
"syngr3b",1050.30624325442,3.8499689189754,0.948710147407619,4.05810871686738,4.94717376619387e-05,0.0016212288263714
"smcr8b",196.686484428324,-1.07829836594054,0.409698505762078,-2.63193140998844,0.00849010012331049,0.046709305396917
"si:ch211-160d14.6",178.589636787731,3.22003130854726,0.929717586168834,3.4634510053922,0.000533293704850272,0.00716556495658075
"fscn1b",291.893483940832,4.85948687498688,0.98052524400119,4.95600384050997,7.19577941164661e-07,0.000126141214225208
"grin2ab",393.861783851135,2.93570368024063,0.934663668429018,3.14091986176691,0.00168418109554797,0.0153852262778944
"ubn1",84.4145209926994,1.89559744098769,0.628412960460245,3.01648368232153,0.00255724981325597,0.0204452047312316
"elfn1b",43.0346514437812,2.54331455782021,0.863916219850543,2.94393657553993,0.00324066403330955,0.0240478338685934
"trim2b",161.382188999264,4.21954882072236,1.05044237909851,4.01692553983168,5.8962344060756e-05,0.00179974967306132
"zgc:77880",189.569625587541,1.82127744291095,0.59109344921721,3.08120051968582,0.00206167756102078,0.0176130799686325
"LOC557811",75.9057016203426,2.60958679842691,0.839397794083996,3.10887974309564,0.00187798139175901,0.0165110422232741
"atp1b1b",1150.02171010271,5.53065521626248,1.08168572415535,5.11299640251904,3.17088339363967e-07,7.48114296832347e-05
"ttyh3b",233.021210865992,5.06125844641599,0.997928030684942,5.07176699199653,3.94138797193951e-07,8.77916684163491e-05
"cplx2l",2209.13518782374,5.93955680570422,1.20018405887156,4.94887160165143,7.46449664864418e-07,0.000129164318760329
"pcdh18a",154.92622546286,4.08561722437318,1.10570535108706,3.69503251508773,0.000219858650030086,0.00408413308915938
"ank2a",1083.83634845749,4.12962674110916,1.01316203767548,4.0759785577674,4.58212413121579e-05,0.00156188916276963
"camk2d2",2384.16072576408,6.27831782178641,1.2895042194109,4.86878424070192,1.12286923873213e-06,0.000162260577705509
"ppp2r2ca",240.940676524081,1.78453051164209,0.596363934929728,2.99235149397887,0.00276837319716581,0.0215867952489677
"crmp1",158.513601485973,1.96863307820731,0.641745533461875,3.067622563086,0.00215768957481091,0.0181535932731149
"pcdh7a",423.740897903537,4.29013884419317,1.05008067122189,4.08553262788952,4.39758199947541e-05,0.00152189949273565
"hgsnat",96.2822663773659,1.27059823174733,0.390487371425947,3.25387790930977,0.00113841194771982,0.0118905180252612
"tusc3",361.089076633383,3.12218770102053,0.85618944591412,3.64660848825004,0.000265724317914097,0.00456339612491771
"micu3a",173.67898812838,5.19711186214514,1.26826305140349,4.0978185530154,4.17061994224229e-05,0.00146575979263773
"LOC110439786",350.658270790611,2.51290643983438,0.827528641105961,3.03663983940904,0.00239231112622895,0.0195825644923414
"mtmr7b",266.826461327129,2.87507862382479,0.721193643244735,3.98655569243438,6.70393972132871e-05,0.00196468101843945
"fat1a",851.282439425656,2.17625608584395,0.791143946261206,2.75077133071487,0.00594551305097191,0.0365658149980914
"acsl1a",257.51550738639,2.84812293202392,0.863165910793662,3.29962397310749,0.000968144553323799,0.0106756395635025
"sorbs2a",283.522588552451,3.93243283891767,0.893695725129745,4.40019206575792,1.08155106735014e-05,0.000638749953189158
"LOC100535985",30.69002963297,-1.35109249659634,0.415374876758778,-3.25270634357831,0.00114311565382333,0.0119294840141007
"rnf38",1127.04704151399,1.12864758348073,0.405217175756015,2.78529058245127,0.00534797728170647,0.0340333799044553
"ptpn9b",167.659728453827,1.15647729762475,0.389718970549683,2.96746472462857,0.00300266735300801,0.0228741835402136
"ptprdb",996.5003640648,4.54727043993122,1.08320169199067,4.19799052526813,2.69293895481974e-05,0.00111649635751467
"clockb",279.284096484439,1.97281162399683,0.551265604299329,3.57869529426621,0.000345313783061592,0.00544781622789447
"fbxo10",38.0402519270078,2.63623421021677,0.780636122136698,3.37703333917097,0.000732721684222663,0.00887069964138908
"si:ch211-42i9.8",88.5310247566316,1.47875110377655,0.510688042222885,2.89560549986632,0.00378427802447718,0.0267483522411619
"apbb2b",67.156812658847,3.34531662671244,0.78620922400645,4.25499539380245,2.09053318819383e-05,0.000941849338700858
"prss12",90.5670591782902,2.50608251566255,0.793639617890715,3.15770843487257,0.00159014512842469,0.0148298910758371
"ndst3",245.159244269525,3.3707434462516,1.00397089528666,3.35741151668461,0.000786759206678884,0.00928088900036701
"ugt8",75.7341728834528,2.98747499896923,1.01487127232836,2.94369845755435,0.00324315817377914,0.0240597701002342
"spock3",1332.26116761191,4.42232215646128,1.10301604437993,4.0092999362918,6.08990238772928e-05,0.00184031566370902
"cpe",3101.47897816317,7.35096446100692,1.28542911404886,5.7186852084381,1.07351462985693e-08,9.59234423048888e-06
"LOC101882260",45.3269564168243,2.14047506926003,0.706401335709682,3.0301118656714,0.00244463174594792,0.0198842247431638
"gria2a",1780.43567152494,5.8544609387292,1.40340552955239,4.17161028330595,3.02454609779863e-05,0.0011943000557979
"si:ch73-380n15.2",34.5818641619572,2.23107699100948,0.712062843219529,3.13325854909359,0.00172877086926794,0.0156343269658462
"prom1b",56.8399069642908,3.03484969733023,0.743651212315092,4.08101223674781,4.48399940464074e-05,0.00153615147321406
"tapt1b",714.495276952246,1.26446916060128,0.469646051222773,2.69238750609974,0.00709424639735076,0.041243182511626
"rhoh",22.4422180492865,2.41180995616049,0.481165848441909,5.01242963101041,5.37470334783703e-07,0.0001073636513608
"slit2",201.614791303605,3.68249269046607,0.732563150140003,5.02686040072081,4.98575019290956e-07,0.0001018405078878
"fbxw7",724.595565322914,1.34146817836806,0.511666801476432,2.62176122135969,0.00874766955697007,0.0477204696494389
"tmem154",38.1786911026559,-1.67615945391194,0.481407289216702,-3.48179076523585,0.000498072709223504,0.00686859964034261
"trim2a",55.0047536155731,1.94155904247215,0.427563025432388,4.54098911033918,5.59909239580591e-06,0.00042252928643572
"fhdc1",107.934448304584,2.86855265365031,1.06850480298469,2.68464179630966,0.00726075768406973,0.0419508728207406
"gucy1b3",201.300034911961,2.89045726576768,0.797247005519811,3.62554797416025,0.000288349357392102,0.00480746368072749
"usp53b",228.476398103263,2.45734189413171,0.789020142565512,3.11442225814619,0.00184305518551427,0.0162953580173318
"cdkn2a/b",136.695378286139,2.8301069632946,0.645403179347093,4.38502172573369,1.15974203004769e-05,0.000668932308499059
"cxxc4",59.7022730313971,3.24826810351785,0.968760995631377,3.35301288776685,0.000799369843087672,0.00935810853923208
"arhgef38",14.5632953011701,-1.89703226048935,0.576264334119167,-3.2919480664876,0.000994959831502908,0.0108685459358422
"sh3gl2a",1005.7386763042,6.61847736850537,1.21490831873117,5.44771754910494,5.10202929583061e-08,2.76685633740531e-05
"bnc2",82.3006748524026,2.54567907861286,0.907150556934736,2.80623658239788,0.00501238760386814,0.0326253660074453
"dnajb14",133.877955111481,2.65271534004738,0.836048869117723,3.17291899796094,0.00150914623166988,0.014360411795368
"si:ch1073-440b2.1",480.562233876536,1.86496062984421,0.633942333470678,2.94184586101706,0.00326262280859336,0.0241608867053964
"zgc:172295",454.568950152026,1.95790230243359,0.645433428289411,3.03346900953458,0.00241759541056585,0.0197411525454892
"gpm6ba",1954.94461632012,8.23394835945407,1.41440249808296,5.8215029813749,5.83207650109507e-09,6.33760089220999e-06
"irs2a",520.119720836596,2.37527829665861,0.586001501421299,4.05336554752431,5.04860208207648e-05,0.00164061450674368
"raph1b",541.173100765308,1.91365844427178,0.634498811795662,3.01601580443631,0.00256119909923137,0.0204647340967113
"si:dkey-22o12.2",241.862042114646,3.35067470672016,0.968265718316807,3.46049089969315,0.000539191458114282,0.00722654876299492
"dachc",80.1961664694034,3.02285282657435,0.869985996397847,3.47459940630124,0.000511616761031105,0.0070091238259869
"eef1a1b",772.705783453758,3.03646261856247,0.801809557470572,3.78701225281155,0.00015246958434393,0.00328220380179996
"kcnq5b",108.350945673176,1.97682033003381,0.582003266222044,3.39657944338687,0.000682337474751157,0.00848378131650557
"nt5c2b",252.818338947801,1.50942984651313,0.512442733255271,2.94555810543852,0.00322372591840029,0.0239679699028956
"anos1a",159.362308714089,3.14170411128334,0.851607163841918,3.68914711462728,0.00022500708789891,0.00414706075776777
