"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"trim2b",107.782061730476,-4.48030263345115,1.18673782756149,-3.7753095329044,0.000159809095499392,0.0226503735446799
"rnf175",183.300942170193,-2.7584445027505,0.791948232610512,-3.48311213936016,0.000495620712025187,0.0329715778786746
"ttyh3b",151.202337986145,-4.79886436154338,1.49874949118925,-3.20191225401885,0.00136518575744051,0.0491625985237727
"uchl1",422.890491582186,-7.45398254042811,1.53328510081348,-4.8614458827477,1.16531439891807e-06,0.00900147107444261
"adgrl3.1",508.587390988536,-5.44475835906735,1.49618710191443,-3.63908922360081,0.00027360399785381,0.0266108617581177
"gpm6ab",2629.94786373706,-6.08979713653158,1.682382044766,-3.61974686753067,0.000294891354294511,0.0266754202135415
"LOC799968",7.95625045659442,-3.26910806192894,0.967764182066311,-3.37800067672369,0.000730149009797239,0.0372314535282386
"si:dkey-28b4.8",582.642743088166,-3.36473679917294,0.96171601749494,-3.4986802111681,0.000467566999616306,0.0314062720742274
"zgc:175214",260.053798184347,-4.10364609714017,1.25687626040794,-3.26495632577885,0.00109480955970446,0.0440927604097168
"esf1",274.274437059206,2.11618935187505,0.639115822104991,3.31112026753644,0.000929232622186055,0.0413933834245203
"inpp4b",103.436720896215,-3.51630735569081,1.04647817577372,-3.36013443671771,0.000779045537337776,0.0379885169191001
"slc25a23a",172.009611442129,-3.1420086242728,0.961320118725546,-3.2684311532336,0.00108145484314777,0.0439957769966833
"zgc:65894",1082.449317506,-5.59417738488088,1.50960996557282,-3.70571042352531,0.000210799034393532,0.0237710531558079
"LOC100333957",30.6041383878543,-3.26615321904184,0.741972572779702,-4.40198645996526,1.07264252435897e-05,0.00979642202557005
"si:ch211-114l13.4",31.6264840669035,-2.34880754469587,0.715413773589347,-3.28314554654367,0.00102655649806244,0.043196126810854
"si:ch211-114l13.1",104.785173420265,-4.95975755951577,1.00732095152546,-4.92371130770667,8.49180868607868e-07,0.00900147107444261
"si:ch211-15j1.5",34.257694919871,-3.83073890644961,0.884676192736535,-4.33010285333907,1.49039712877089e-05,0.0105364270452036
"si:ch211-15j1.4",25.7389562576902,-3.44033124039468,0.786828023221549,-4.3724055814748,1.22884966983846e-05,0.0105364270452036
"LOC103908614",25.0375401227717,-3.25192380586027,0.788616612254604,-4.1235801469655,3.73028578938907e-05,0.0162749494878102
"si:ch211-15j1.1",26.5691734258282,-2.99311624232513,0.765241151619741,-3.91133727713123,9.17864879257689e-05,0.0216847864471924
"si:dkey-222h21.11",24.652834876066,-3.03856557442091,0.815401947515706,-3.7264634744601,0.000194185196750695,0.0237710531558079
"si:dkey-222h21.10",40.87173633542,-2.6682188475148,0.696826062072094,-3.82910311876186,0.000128611112502542,0.0226503735446799
"si:dkey-222h21.8",26.0270943891943,-2.72770075379529,0.761358529991052,-3.58267576489534,0.000340092634752005,0.0284004925096417
"si:dkey-222h21.7",26.7486369586551,-3.22853254603158,0.911162659651969,-3.54331085874915,0.000395136636315723,0.0299930256348827
"si:dkey-222h21.5",28.7353464038265,-2.83092241719455,0.850832214857505,-3.32723934021311,0.000877110040204244,0.0399922002750831
"si:dkey-222h21.4",23.227684588256,-2.84350952640096,0.757857511006335,-3.75203713772679,0.000175403472687718,0.0234081139124268
"si:dkey-222h21.3",22.5393791740704,-2.64428236019531,0.786915176174481,-3.3603143518597,0.00077853834248409,0.0379885169191001
"si:dkey-222h21.2",38.1669836790078,-2.60520310554462,0.713272762074704,-3.65246402788021,0.000259735989952565,0.0258881374759818
"si:dkey-222h21.1",26.8630483657849,-2.59190339929867,0.739464687853033,-3.50510773790162,0.000456422540551674,0.0312164491864008
"si:ch73-236c18.2",31.0537751864699,-2.57372332865427,0.772888620004813,-3.33000546526128,0.00086844279474313,0.0399302759999602
