term,padj,category
protein binding,6.81E-08,Function
ionotropic glutamate receptor activity,8.14E-05,Function
signaling receptor binding,2.13E-04,Function
glutamate receptor activity,2.34E-04,Function
RNA polymerase II proximal promoter sequence-specific DNA binding,2.69E-04,Function
transcription regulator activity,2.35E-04,Function
molecular function regulator,2.55E-04,Function
AMPA glutamate receptor activity,4.09E-04,Function
proximal promoter sequence-specific DNA binding,3.66E-04,Function
ion gated channel activity,4.47E-04,Function
DNA-binding transcription factor activity,5.07E-04,Function
transmitter-gated channel activity,6.27E-04,Function
transmitter-gated ion channel activity,5.79E-04,Function
gated channel activity,6.96E-04,Function
ion channel activity,1.16E-03,Function
"phosphotransferase activity, alcohol group as acceptor",1.12E-03,Function
substrate-specific channel activity,1.45E-03,Function
extracellular ligand-gated ion channel activity,1.40E-03,Function
neurotransmitter receptor activity,2.16E-03,Function
inorganic molecular entity transmembrane transporter activity,3.30E-03,Function
