term,padj,category
protein binding,1.83E-16,Function
ion gated channel activity,1.55E-13,Function
gated channel activity,1.72E-13,Function
ion channel activity,5.48E-13,Function
substrate-specific channel activity,1.64E-12,Function
channel activity,3.48E-11,Function
passive transmembrane transporter activity,2.98E-11,Function
cation channel activity,1.63E-10,Function
inorganic molecular entity transmembrane transporter activity,2.61E-10,Function
inorganic cation transmembrane transporter activity,3.74E-10,Function
cation transmembrane transporter activity,1.97E-09,Function
ion transmembrane transporter activity,3.98E-09,Function
calcium ion transmembrane transporter activity,2.40E-08,Function
voltage-gated channel activity,3.04E-08,Function
voltage-gated ion channel activity,7.94E-08,Function
ionotropic glutamate receptor activity,2.02E-07,Function
voltage-gated cation channel activity,2.39E-07,Function
metal ion transmembrane transporter activity,2.28E-07,Function
neurotransmitter receptor activity,3.97E-07,Function
transmembrane transporter activity,3.97E-07,Function
